classifier,calibrate,bin_type,bins,mean_penalty,std,frac_positive,n,n_datasets
rf,isotonic,equal_width,30,0.00494978683421591,0.025186641842070142,0.6353535353535353,990,11
rf,isotonic,equal_width,50,0.0036863618465822,0.024769927702377306,0.6222222222222222,990,11
rf,none,equal_freq,5,0.02221462632750877,0.049505001928126464,0.6277777777777778,1080,12
rf,none,equal_freq,10,0.02132935417641099,0.046585576660280105,0.6231481481481481,1080,12
rf,none,equal_freq,15,0.01977132612576262,0.043806616849794394,0.6240740740740741,1080,12
rf,none,equal_freq,20,0.017502459924690926,0.04273987755300674,0.6157407407407407,1080,12
rf,none,equal_freq,30,0.016054915849260505,0.04067276747362146,0.6148148148148148,1080,12
rf,none,equal_freq,50,0.012236108201194801,0.038938520732221316,0.6064814814814815,1080,12
rf,none,equal_width,5,0.02238095791017372,0.052443815057374985,0.6268518518518519,1080,12
rf,none,equal_width,10,0.021957904711526973,0.050301099704766525,0.6407407407407407,1080,12
rf,none,equal_width,15,0.021458888396512013,0.04905120892161489,0.6472222222222223,1080,12
rf,none,equal_width,20,0.019966039229875273,0.047228902023063325,0.649074074074074,1080,12
rf,none,equal_width,30,0.01892223201458693,0.04588667394428338,0.65,1080,12
rf,none,equal_width,50,0.01694177893535379,0.04300861730215718,0.6648148148148149,1080,12
rf,sigmoid,equal_freq,5,0.0064787340382465985,0.025062411244151834,0.6262626262626263,990,11
rf,sigmoid,equal_freq,10,0.008856355703897508,0.02346252204088718,0.6454545454545455,990,11
rf,sigmoid,equal_freq,15,0.009199976132782152,0.022727506334926772,0.6848484848484848,990,11
rf,sigmoid,equal_freq,20,0.009379784169514963,0.023584457283399113,0.6757575757575758,990,11
rf,sigmoid,equal_freq,30,0.008098114012880776,0.023253241442415046,0.6787878787878788,990,11
rf,sigmoid,equal_freq,50,0.006705232870277052,0.024100408691858897,0.6838383838383838,990,11
rf,sigmoid,equal_width,5,0.0006889744885526436,0.027773263012200924,0.4797979797979798,990,11
rf,sigmoid,equal_width,10,0.002584927972421847,0.02629912299650441,0.5393939393939394,990,11
rf,sigmoid,equal_width,15,0.0021744337070663216,0.02583080715407651,0.5484848484848485,990,11
rf,sigmoid,equal_width,20,0.0014472882147308491,0.025917606580401455,0.5484848484848485,990,11
rf,sigmoid,equal_width,30,0.0007581516520243039,0.025474650218988287,0.5515151515151515,990,11
rf,sigmoid,equal_width,50,0.0001347422579723791,0.024453449496742587,0.5444444444444444,990,11
