method,classifier,rep,auroc_full,auroc_red,aurc_full,aurc_red,tag,auroc_penalty,aurc_penalty,kept_features,k_aggr
rf_importance,logistic,20,0.919338474025974,0.841112012987013,0.0588257229962364,0.11741555460001925,arcene_keep5000,0.07822646103896103,0.058589831603782845,5000,25
rf_importance,logistic,21,0.9295860389610389,0.8615056818181818,0.06871469451767023,0.09845664100616366,arcene_keep5000,0.0680803571428571,0.02974194648849343,5000,25
rf_importance,logistic,22,0.9197443181818181,0.8396915584415584,0.07596076031097987,0.12254247056764231,arcene_keep5000,0.08005275974025972,0.04658171025666244,5000,25
rf_importance,logistic,23,0.9275568181818181,0.7956574675324676,0.07083539292979199,0.15360188907573263,arcene_keep5000,0.13189935064935054,0.08276649614594064,5000,25
rf_importance,logistic,24,0.9311079545454546,0.8351258116883116,0.06314880617008607,0.12461263877273755,arcene_keep5000,0.09598214285714302,0.06146383260265148,5000,25
rf_importance,logistic,25,0.9126420454545455,0.8362418831168831,0.09008998000788365,0.12642004130381815,arcene_keep5000,0.07640016233766245,0.036330061295934496,5000,25
rf_importance,logistic,26,0.9228896103896104,0.8355316558441559,0.07343194825505756,0.12661432599795439,arcene_keep5000,0.08735795454545447,0.05318237774289683,5000,25
rf_importance,logistic,27,0.9307021103896105,0.8564326298701298,0.04735964235848466,0.10561788789167853,arcene_keep5000,0.07426948051948068,0.05825824553319387,5000,25
rf_importance,logistic,28,0.9185267857142857,0.8641436688311689,0.09069950679269559,0.1124016257449439,arcene_keep5000,0.05438311688311681,0.021702118952248314,5000,25
rf_importance,logistic,29,0.9251217532467532,0.8653612012987012,0.06748597780188072,0.1016863196373776,arcene_keep5000,0.059760551948051965,0.03420034183549689,5000,25
rf_importance,rf,0,0.886820211038961,0.8568892045454546,0.08014360743138646,0.10140832252036378,arcene_keep5000,0.02993100649350644,0.021264715088977315,5000,25
rf_importance,rf,1,0.9087357954545455,0.8966619318181818,0.06075886069180041,0.07769605409191564,arcene_keep5000,0.012073863636363757,0.01693719340011523,5000,25
rf_importance,rf,2,0.9235998376623376,0.9121347402597402,0.04919524521852523,0.0561069244151169,arcene_keep5000,0.01146509740259738,0.0069116791965916705,5000,25
rf_importance,rf,3,0.9205560064935066,0.8863636363636364,0.0557002185793977,0.0858985304172387,arcene_keep5000,0.0341923701298702,0.030198311837841003,5000,25
rf_importance,rf,4,0.9174107142857143,0.8893060064935064,0.05424850794175024,0.07610751385210487,arcene_keep5000,0.02810470779220786,0.021859005910354633,5000,25
rf_importance,rf,5,0.9066558441558441,0.8669338474025975,0.058532880606619486,0.10136992359057342,arcene_keep5000,0.03972199675324661,0.04283704298395394,5000,25
rf_importance,rf,6,0.9178672889610389,0.8968141233766234,0.05265386775544989,0.06693252522160151,arcene_keep5000,0.0210531655844155,0.014278657466151617,5000,25
rf_importance,rf,7,0.9063514610389609,0.8561789772727273,0.05990905916872595,0.10892314302057658,arcene_keep5000,0.05017248376623362,0.04901408385185063,5000,25
rf_importance,rf,8,0.9185267857142857,0.8886972402597403,0.05280737564342447,0.07235234928317343,arcene_keep5000,0.029829545454545414,0.019544973639748955,5000,25
rf_importance,rf,9,0.9248681006493507,0.9146205357142858,0.04877430479776475,0.05461535741399318,arcene_keep5000,0.010247564935064846,0.005841052616228436,5000,25
rf_importance,rf,10,0.9018871753246754,0.8540482954545454,0.06598665114732083,0.10310725438883944,arcene_keep5000,0.047838879870130024,0.03712060324151861,5000,25
rf_importance,rf,11,0.9122362012987013,0.8979809253246752,0.05439153370756019,0.0681007482271988,arcene_keep5000,0.014255275974026094,0.013709214519638614,5000,25
