dataset,method,classifier,rep,penalty_margin,penalty_d
pima,rf_importance,logistic,6,0.0091722128058212,0.0023451459964815
pima,rf_importance,logistic,7,0.0015815930275235,-0.0044030948481106
pima,rf_importance,logistic,8,0.0110041831478394,0.0010356210367907
pima,rf_importance,logistic,9,0.0110842988055634,0.002984672399598
pima,rf_importance,logistic,10,0.0075297313226366,-0.0043223456715597
pima,rf_importance,logistic,11,0.0090841309010935,0.0023068644821382
pima,rf_importance,logistic,12,0.0096435176398461,0.0038883131079109
pima,rf_importance,logistic,13,0.0092849256446671,-0.0032463511442576
pima,rf_importance,logistic,14,0.0075300310506974,0.0034120282251127
pima,rf_importance,logistic,15,0.0089449753430195,0.0014693671722675
pima,rf_importance,logistic,16,0.0037825496826071,0.0056690961407331
pima,rf_importance,logistic,17,0.0111261490521128,0.004414469287353
pima,rf_importance,logistic,18,0.0097281510152104,0.007803633538871
pima,rf_importance,logistic,19,0.0073749026645245,0.0018409565714047
pima,rf_importance,logistic,20,0.0063059126239751,-0.000804359981157
pima,rf_importance,logistic,21,0.0102170835126744,0.0072445433395537
pima,rf_importance,logistic,22,0.0132184450833128,0.003211233190389
pima,rf_importance,logistic,23,0.0129865172200357,0.0041808170137431
pima,rf_importance,logistic,24,0.0125085158175291,0.003427492272286
pima,rf_importance,logistic,25,0.0102028599810867,-0.0005518288101871
pima,rf_importance,logistic,26,0.0090920864159029,0.00140119609287
pima,rf_importance,logistic,27,0.0105116483523325,0.0024217617453521
pima,rf_importance,logistic,28,0.0052336010971861,-0.002592970792818
pima,rf_importance,logistic,29,0.0050641319851298,0.0002823287524589
pima,l1_logistic,rf,0,0.0571130050288595,0.0502208645465239
pima,l1_logistic,rf,1,0.0477345837161741,0.0628853237774598
pima,l1_logistic,rf,2,0.0526776079597764,0.0584291534457113
pima,l1_logistic,rf,3,0.0483383383768624,0.0454810604475367
pima,l1_logistic,rf,4,0.0563763349832866,0.0415232560015192
pima,l1_logistic,rf,5,0.0409602755322859,0.0415419222980632
pima,l1_logistic,rf,6,0.0594688682730781,0.0564165831625831
pima,l1_logistic,rf,7,0.0389653231740934,0.0349824351267651
pima,l1_logistic,rf,8,0.0446908548732339,0.047766973124697
pima,l1_logistic,rf,9,0.045716082745189,0.0500999131769874
pima,l1_logistic,rf,10,0.0512168359052976,0.0682124135902397
pima,l1_logistic,rf,11,0.0374402870473475,0.0595059524632812
pima,l1_logistic,rf,12,0.0503213330367584,0.0466151477543584
pima,l1_logistic,rf,13,0.0535053784198273,0.0391349583104765
pima,l1_logistic,rf,14,0.0399151838729472,0.0434514988436574
pima,l1_logistic,rf,15,0.0401360985118397,0.0412393211781862
pima,l1_logistic,rf,16,0.0559847174459983,0.0396369654235969
pima,l1_logistic,rf,17,0.0536771082296429,0.0546053475296943
pima,l1_logistic,rf,18,0.0361355302177033,0.0366414615502039
pima,l1_logistic,rf,19,0.0470328420448568,0.0420577562941596
pima,l1_logistic,rf,20,0.0588372462576545,0.0494139296104714
pima,l1_logistic,rf,21,0.0752771699330769,0.055630590002733
pima,l1_logistic,rf,22,0.0513757641168609,0.049837987979501
pima,l1_logistic,rf,23,0.0487747275637882,0.0938381249135914
pima,l1_logistic,rf,24,0.0654597868098368,0.0478278352589505
pima,l1_logistic,rf,25,0.0472557823125624,0.0363119139534055
pima,l1_logistic,rf,26,0.0518287539741867,0.0484148376449677
pima,l1_logistic,rf,27,0.0494694488804165,0.0515055595547582
pima,l1_logistic,rf,28,0.0533644937938356,0.0510382054438175
pima,l1_logistic,rf,29,0.0555891714763961,0.0555967540800465
pima,l1_logistic,logistic,0,0.010073483257788,-0.0040871207323974
pima,l1_logistic,logistic,1,0.0211680460263221,0.0116020007057257
pima,l1_logistic,logistic,2,0.0065665878985793,0.0006052039601953
pima,l1_logistic,logistic,3,0.0060298275869126,-0.0055310907616231
pima,l1_logistic,logistic,4,0.0078807862515712,0.0008388642838421
