method,budget_type,budget,frac,k_features,n_features,classifier,calibrate,seed,accuracy,auroc,brier,ece,aurc,auroc_gap,ece_gap,net_benefit,net_benefit_gap,conformal_efficiency,conformal_coverage,conformal_coverage_gap,selective_ece,dataset,rep,runtime_s,calib_sha256
l1_logistic,k,k:2,,2,19993,gb,none,3865505444,0.5614973262032086,0.5882016036655212,0.2821982251117944,0.198526815995756,0.3866946717162881,,,0.2967327284493982,,1.7433155080213905,0.9037433155080212,,0.2191336425819073,smk_can_187,5,63.591,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
l1_logistic,k,k:4,,4,19993,gb,none,3865505444,0.6203208556149733,0.638487972508591,0.286717676729186,0.2210877357233865,0.3173664227380882,,,0.2922275692222283,,1.6844919786096255,0.9037433155080212,,0.2515311670488848,smk_can_187,5,63.591,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
l1_logistic,k,k:8,,8,19993,gb,none,3865505444,0.6256684491978609,0.6899198167239404,0.2890432022612895,0.2631431745426879,0.2570515373308365,,,0.3032058609693229,,1.588235294117647,0.9037433155080212,,0.2772876622067772,smk_can_187,5,63.591,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
l1_logistic,k,k:16,,16,19993,gb,none,3865505444,0.7058823529411765,0.7670103092783506,0.2333365887670496,0.2096635164643394,0.1845530655198395,,,0.3466575718934537,,1.481283422459893,0.9037433155080212,,0.2166767167766772,smk_can_187,5,63.591,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
l1_logistic,k,k:32,,32,19993,gb,none,3865505444,0.6898395721925134,0.7439862542955327,0.2380700330466557,0.1875470930667231,0.1984144392550379,,,0.3438899721396897,,1.4919786096256684,0.9037433155080212,,0.2242390496200149,smk_can_187,5,63.591,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
l1_logistic,k,k:64,,64,19993,gb,none,3865505444,0.6684491978609626,0.7348224513172966,0.2385415942104141,0.1858758263341017,0.2090543203551629,,,0.3448030399684625,,1.5080213903743316,0.9037433155080212,,0.2087178279005529,smk_can_187,5,63.591,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
l1_logistic,k,k:128,,128,19993,gb,none,3865505444,0.6951871657754011,0.7642611683848797,0.2247219007993925,0.1850083831300009,0.1772977791851013,,,0.3518401853477851,,1.5080213903743316,0.9037433155080212,,0.1870695601668512,smk_can_187,5,63.591,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
l1_logistic,k,k:256,,256,19993,gb,none,3865505444,0.7005347593582888,0.7577319587628866,0.2282899750121471,0.1804478556944894,0.1809648540855403,,,0.3505085343075276,,1.481283422459893,0.9037433155080212,,0.1936717651164871,smk_can_187,5,63.591,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
l1_logistic,frac,frac:1,1.0,19993,19993,gb,none,3228073765,0.6684491978609626,0.7306987399770905,0.246905288749647,0.2122003881777864,0.2171409649793314,,,0.3417045377048839,,1.4919786096256684,0.9037433155080212,,0.2234608441226305,smk_can_187,6,64.43,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
l1_logistic,k,k:1,,1,19993,gb,none,3228073765,0.5935828877005348,0.6623711340206185,0.2347140054677962,0.1051971770059199,0.2837127196855962,,,0.3106012609613906,,1.60427807486631,0.9037433155080212,,0.1204798218407908,smk_can_187,6,64.43,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
l1_logistic,k,k:2,,2,19993,gb,none,3228073765,0.5828877005347594,0.6532073310423825,0.2651545198942221,0.1997209631217571,0.2805887073107619,,,0.2963801945977459,,1.6203208556149733,0.9037433155080212,,0.2151915820118101,smk_can_187,6,64.43,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
l1_logistic,k,k:4,,4,19993,gb,none,3228073765,0.6577540106951871,0.6816723940435281,0.2681276711000253,0.2128282562122732,0.3076920239272315,,,0.3174931178840529,,1.641711229946524,0.9037433155080212,,0.2374032349438762,smk_can_187,6,64.43,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
l1_logistic,k,k:8,,8,19993,gb,none,3228073765,0.6577540106951871,0.7105383734249714,0.2692173263602009,0.2299281509297231,0.2321174424577149,,,0.3259415028522248,,1.5775401069518715,0.9037433155080212,,0.2462791689163323,smk_can_187,6,64.43,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
l1_logistic,k,k:16,,16,19993,gb,none,3228073765,0.6898395721925134,0.7453608247422681,0.2434966542900351,0.2099775469060968,0.1972571217250732,,,0.3469731782037286,,1.5614973262032086,0.9037433155080212,,0.2201551245503648,smk_can_187,6,64.43,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
l1_logistic,k,k:32,,32,19993,gb,none,3228073765,0.6631016042780749,0.7502863688430699,0.2438216305794689,0.1972375070472801,0.1948103702534125,,,0.3322757847293336,,1.4919786096256684,0.9037433155080212,,0.2259349658391805,smk_can_187,6,64.43,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
l1_logistic,k,k:64,,64,19993,gb,none,3228073765,0.6684491978609626,0.7618556701030927,0.2230641591368099,0.1698912456071657,0.1756416881587697,,,0.3540650514705665,,1.4705882352941178,0.9037433155080212,,0.163586921870771,smk_can_187,6,64.43,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
l1_logistic,k,k:128,,128,19993,gb,none,3228073765,0.6951871657754011,0.7698739977090493,0.2240713057253376,0.1839317728200805,0.1630106425810962,,,0.3569503126515624,,1.481283422459893,0.9037433155080212,,0.1899385021676861,smk_can_187,6,64.43,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
l1_logistic,k,k:256,,256,19993,gb,none,3228073765,0.6844919786096256,0.770561282932417,0.218268523255586,0.1810042959262449,0.1711391454284914,,,0.3598903534543209,,1.4759358288770053,0.9037433155080212,,0.1764628676361281,smk_can_187,6,64.43,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
l1_logistic,frac,frac:1,1.0,19993,19993,gb,none,2904328473,0.6844919786096256,0.7348224513172966,0.2435555942917451,0.2042367345119172,0.2014292876206456,,,0.3375088256238007,,1.572192513368984,0.9037433155080212,,0.2144077924645334,smk_can_187,7,65.188,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
l1_logistic,k,k:1,,1,19993,gb,none,2904328473,0.5561497326203209,0.5674684994272623,0.2642360072021131,0.1661539281717649,0.4059032384333322,,,0.2967850537409408,,1.732620320855615,0.9037433155080212,,0.1650971203608358,smk_can_187,7,65.188,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
l1_logistic,k,k:2,,2,19993,gb,none,2904328473,0.5989304812834224,0.6305269186712485,0.2736465691611627,0.1898697523275242,0.3117251930977831,,,0.293516856844624,,1.6631016042780749,0.9037433155080212,,0.2402440370741635,smk_can_187,7,65.188,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
l1_logistic,k,k:4,,4,19993,gb,none,2904328473,0.6042780748663101,0.6978235967926689,0.2556181250504312,0.2139951264581829,0.255205210248722,,,0.3147808194082634,,1.6203208556149733,0.9037433155080212,,0.2006101219797803,smk_can_187,7,65.188,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
l1_logistic,k,k:8,,8,19993,gb,none,2904328473,0.6951871657754011,0.7366552119129439,0.2502926452011604,0.207331042946928,0.2142496022622525,,,0.3138113977635138,,1.5614973262032086,0.9037433155080212,,0.226750205048622,smk_can_187,7,65.188,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
