kept_features,method,classifier,rep,auroc_full,auroc_red,auroc_penalty
100,l1_logistic,rf,28,0.9199979707792207,0.9223315746753247,-0.0023336038961039307
100,l1_logistic,rf,29,0.8985389610389611,0.8664265422077922,0.03211241883116889
256,mutual_info,logistic,0,0.885247564935065,0.8511566558441559,0.03409090909090906
256,mutual_info,logistic,1,0.8894074675324675,0.8687094155844156,0.020698051948051854
256,mutual_info,logistic,2,0.8846387987012987,0.843851461038961,0.040787337662337664
256,mutual_info,logistic,3,0.9008725649350648,0.8775365259740261,0.023336038961038752
256,mutual_info,logistic,4,0.9053368506493507,0.8247767857142857,0.08056006493506496
256,mutual_info,logistic,5,0.8610998376623377,0.8577516233766235,0.0033482142857141906
256,mutual_info,logistic,6,0.861810064935065,0.8112824675324675,0.05052759740259749
256,mutual_info,logistic,7,0.8936688311688311,0.8684050324675324,0.02526379870129869
256,mutual_info,logistic,8,0.8942775974025974,0.8469967532467532,0.047280844155844215
256,mutual_info,logistic,9,0.9180194805194805,0.8479099025974026,0.07010957792207784
256,mutual_info,logistic,10,0.8538961038961038,0.8545048701298701,-0.0006087662337662669
256,mutual_info,logistic,11,0.8639407467532467,0.8573457792207793,0.006594967532467466
256,mutual_info,logistic,12,0.9091923701298701,0.8709415584415584,0.03825081168831168
256,mutual_info,logistic,13,0.8846387987012986,0.8243709415584416,0.060267857142856984
256,mutual_info,logistic,14,0.9093952922077921,0.8630275974025974,0.04636769480519476
256,mutual_info,logistic,15,0.8761160714285714,0.8627232142857143,0.013392857142857095
256,mutual_info,logistic,16,0.8980316558441559,0.8798701298701298,0.018161525974026094
256,mutual_info,logistic,17,0.8852475649350651,0.8438514610389611,0.04139610389610393
256,mutual_info,logistic,18,0.9030032467532468,0.8671875,0.035815746753246835
256,mutual_info,logistic,19,0.8862621753246753,0.8731737012987013,0.013088474025974017
256,mutual_info,logistic,20,0.9056412337662338,0.8447646103896105,0.06087662337662336
256,mutual_info,logistic,21,0.8621144480519481,0.8479099025974026,0.014204545454545525
256,mutual_info,logistic,22,0.8614042207792209,0.8322849025974026,0.029119318181818232
256,mutual_info,logistic,23,0.8801745129870131,0.8563311688311689,0.023843344155844215
256,mutual_info,logistic,24,0.9126420454545454,0.8666801948051948,0.045961850649350655
256,mutual_info,logistic,25,0.8945819805194806,0.8895089285714286,0.005073051948051965
256,mutual_info,logistic,26,0.8930600649350651,0.8882913961038962,0.004768668831168887
256,mutual_info,logistic,27,0.8873782467532467,0.8728693181818181,0.014508928571428603
256,mutual_info,logistic,28,0.8743912337662338,0.8736810064935066,0.0007102272727272929
256,mutual_info,logistic,29,0.8944805194805195,0.8348214285714286,0.05965909090909094
256,mutual_info,rf,0,0.9107650162337663,0.9013291396103895,0.009435876623376749
256,mutual_info,rf,1,0.923346185064935,0.885551948051948,0.03779423701298701
256,mutual_info,rf,2,0.9223315746753247,0.9182224025974026,0.004109172077922052
256,mutual_info,rf,3,0.9187804383116883,0.9142146915584416,0.004565746753246724
256,mutual_info,rf,4,0.9222301136363636,0.8778409090909091,0.044389204545454586
256,mutual_info,rf,5,0.924411525974026,0.9081777597402597,0.016233766233766267
256,mutual_info,rf,6,0.9280641233766235,0.9157873376623377,0.01227678571428581
256,mutual_info,rf,7,0.932122564935065,0.8817471590909092,0.050375405844155785
256,mutual_info,rf,8,0.9109679383116883,0.8994013798701299,0.011566558441558406
256,mutual_info,rf,9,0.8863636363636364,0.8526278409090909,0.033735795454545414
256,mutual_info,rf,10,0.9346083603896103,0.9024452110389611,0.03216314935064912
256,mutual_info,rf,11,0.9053368506493507,0.885247564935065,0.0200892857142857
256,mutual_info,rf,12,0.905083198051948,0.8973721590909092,0.007711038961038863
256,mutual_info,rf,13,0.9240564123376623,0.8955458603896105,0.028510551948051854
256,mutual_info,rf,14,0.9067573051948052,0.8857548701298701,0.021002435064935154
256,mutual_info,rf,15,0.9099025974025975,0.8837256493506493,0.026176948051948146
256,mutual_info,rf,16,0.871296672077922,0.8612520292207793,0.010044642857142794
256,mutual_info,rf,17,0.9148741883116882,0.8815949675324675,0.03327922077922074
256,mutual_info,rf,18,0.9162946428571428,0.9091923701298701,0.007102272727272707
256,mutual_info,rf,19,0.9203023538961038,0.8974736201298701,0.022828733766233733
256,mutual_info,rf,20,0.9195413961038961,0.9198457792207793,-0.000304383116883189
256,mutual_info,rf,21,0.9262885551948051,0.9105620941558442,0.015726461038960915
256,mutual_info,rf,22,0.9079748376623376,0.9041700487012987,0.003804788961038863
256,mutual_info,rf,23,0.9248681006493508,0.8688108766233766,0.05605722402597413
256,mutual_info,rf,24,0.9298396915584416,0.9248173701298702,0.005022321428571397
256,mutual_info,rf,25,0.9153814935064936,0.8896103896103896,0.02577110389610393
256,mutual_info,rf,26,0.9050324675324676,0.8589184253246754,0.04611404220779214
256,mutual_info,rf,27,0.907721185064935,0.9028003246753247,0.004920860389610371
256,mutual_info,rf,28,0.9256290584415584,0.9110186688311689,0.014610389610389518
256,mutual_info,rf,29,0.9164468344155845,0.9039163961038961,0.01253043831168843
256,rf_importance,logistic,0,0.9030032467532468,0.8398944805194806,0.06310876623376627
256,rf_importance,logistic,1,0.8832183441558442,0.8686079545454546,0.01461038961038963
256,rf_importance,logistic,2,0.8652597402597403,0.8089488636363636,0.05631087662337664
256,rf_importance,logistic,3,0.8763189935064934,0.8398944805194805,0.03642451298701299
256,rf_importance,logistic,4,0.877739448051948,0.809760551948052,0.06797889610389607
256,rf_importance,logistic,5,0.908279220779221,0.8546063311688312,0.05367288961038974
256,rf_importance,logistic,6,0.8554180194805195,0.830560064935065,0.024857954545454586
256,rf_importance,logistic,7,0.9039163961038961,0.8498376623376623,0.05407873376623373
256,rf_importance,logistic,8,0.8871753246753247,0.8135146103896103,0.07366071428571441
256,rf_importance,logistic,9,0.8682021103896104,0.8609983766233765,0.007203733766233844
256,rf_importance,logistic,10,0.8919439935064934,0.8534902597402597,0.03845373376623373
256,rf_importance,logistic,11,0.8893060064935064,0.8387784090909091,0.05052759740259738
256,rf_importance,logistic,12,0.8917410714285715,0.8238636363636364,0.06787743506493515
256,rf_importance,logistic,13,0.8728693181818182,0.8343141233766234,0.03855519480519487
256,rf_importance,logistic,14,0.8837256493506492,0.8478084415584417,0.03591720779220753
256,rf_importance,logistic,15,0.8597808441558443,0.846185064935065,0.01359577922077937
256,rf_importance,logistic,16,0.893262987012987,0.8241680194805194,0.06909496753246758
256,rf_importance,logistic,17,0.8921469155844156,0.8466923701298701,0.045454545454545525
256,rf_importance,logistic,18,0.8921469155844156,0.8666801948051948,0.025466720779220853
