# STATUS: validated  (REPS=30)
# calib_sha256: 19f9a06a8f411f2cb0bfc83a470b8abe9be3e8d2481b8d5686994f21903b99e1
# calibration (ECE/Brier) and subgroup gaps vs full-feature baseline; Holm-corrected within (dataset,method,classifier,outcome); 5000-bootstrap paired-diff CI
dataset,method,classifier,calibrate,frac,outcome,mean,ci_lo,ci_hi,n,delta,cohens_d,diff_ci_lo,diff_ci_hi,p_raw,p_holm,material,material_worse,material_better,calib_sha256
cleveland,l1_logistic,gb,none,0.25,auroc_gap,0.03092414611407744,0.02265600845410627,0.04002393317230272,30,0.004585176709890699,0.1980931783024551,-0.0033213005339435236,0.013091764662259527,0.3598779272288084,0.7197558544576168,False,False,False,19f9a06a8f411f2cb0bfc83a470b8abe9be3e8d2481b8d5686994f21903b99e1
cleveland,l1_logistic,gb,none,0.33,auroc_gap,0.0493268709212645,0.040522965929316014,0.05853139884735991,30,0.022987901517077757,0.886658293242693,0.013787816234426688,0.032101286655648806,7.056817412376404e-05,0.00028227269649505615,True,True,False,19f9a06a8f411f2cb0bfc83a470b8abe9be3e8d2481b8d5686994f21903b99e1
cleveland,l1_logistic,gb,none,0.5,auroc_gap,0.03601436562420542,0.027788550406814078,0.044458426561572985,30,0.009675396220018681,0.38114012090502636,0.000765357233663928,0.018410306487838007,0.03841841779649258,0.11525525338947773,False,False,False,19f9a06a8f411f2cb0bfc83a470b8abe9be3e8d2481b8d5686994f21903b99e1
cleveland,l1_logistic,gb,none,0.75,auroc_gap,0.02464183405373334,0.018996639545724177,0.03073394355453846,30,-0.0016971353504534035,-0.08278640130736326,-0.008771954191033117,0.005463782947707448,0.6120056137442589,0.7197558544576168,False,False,False,19f9a06a8f411f2cb0bfc83a470b8abe9be3e8d2481b8d5686994f21903b99e1
cleveland,l1_logistic,gb,none,1.0,auroc_gap,0.02633896940418674,0.02071592825663187,0.03216956309856763,30,,,,,,,False,False,False,19f9a06a8f411f2cb0bfc83a470b8abe9be3e8d2481b8d5686994f21903b99e1
cleveland,l1_logistic,gb,none,0.25,ece_gap,0.02945878469081092,0.022921323531963793,0.03629555522926635,30,0.005557006073240383,0.2288457450279231,-0.0029292497112506583,0.014102290559679516,0.3284698575735092,0.9854095727205276,False,False,False,19f9a06a8f411f2cb0bfc83a470b8abe9be3e8d2481b8d5686994f21903b99e1
cleveland,l1_logistic,gb,none,0.33,ece_gap,0.019629327541391482,0.014298972285969614,0.025371035661226927,30,-0.004272451076179049,-0.2244910531870768,-0.010781851784570435,0.0025470614039991585,0.140283040702343,0.561132162809372,False,False,False,19f9a06a8f411f2cb0bfc83a470b8abe9be3e8d2481b8d5686994f21903b99e1
cleveland,l1_logistic,gb,none,0.5,ece_gap,0.0251222939032351,0.018696910722359506,0.03200820218824741,30,0.0012205152856645698,0.05686496051818006,-0.006270696047316947,0.00876795523807719,0.8393927440047264,1.0,False,False,False,19f9a06a8f411f2cb0bfc83a470b8abe9be3e8d2481b8d5686994f21903b99e1
cleveland,l1_logistic,gb,none,0.75,ece_gap,0.0229174360110498,0.017662869308367704,0.028568005834605947,30,-0.0009843426065207302,-0.053923316711759456,-0.007364973143576059,0.005605537831469115,0.6263462882488966,1.0,False,False,False,19f9a06a8f411f2cb0bfc83a470b8abe9be3e8d2481b8d5686994f21903b99e1
cleveland,l1_logistic,gb,none,1.0,ece_gap,0.023901778617570535,0.019134522329587823,0.02895207152814183,30,,,,,,,False,False,False,19f9a06a8f411f2cb0bfc83a470b8abe9be3e8d2481b8d5686994f21903b99e1
cleveland,l1_logistic,gb,none,0.25,net_benefit,0.333618414522387,0.33140038543235073,0.33587830768081306,30,0.012415712761324327,1.1838116955197855,0.008728877408456072,0.016189707142127814,1.4193356037139893e-06,4.258006811141968e-06,True,False,True,19f9a06a8f411f2cb0bfc83a470b8abe9be3e8d2481b8d5686994f21903b99e1
cleveland,l1_logistic,gb,none,0.33,net_benefit,0.33395093573509305,0.3313571301505472,0.33653295836692554,30,0.012748233974030361,1.3734471845538567,0.009654994351716503,0.01626072063566847,1.862645149230957e-09,7.450580596923828e-09,True,False,True,19f9a06a8f411f2cb0bfc83a470b8abe9be3e8d2481b8d5686994f21903b99e1
cleveland,l1_logistic,gb,none,0.5,net_benefit,0.32311926624052484,0.3200872147262068,0.32614700917964695,30,0.0019165644794622739,0.2267058143238311,-0.0010502383586296225,0.004839647212567403,0.2710056286305189,0.5420112572610378,False,False,False,19f9a06a8f411f2cb0bfc83a470b8abe9be3e8d2481b8d5686994f21903b99e1
cleveland,l1_logistic,gb,none,0.75,net_benefit,0.3196204962793576,0.3166682678271645,0.32255520198523335,30,-0.0015822054817049903,-0.16881529668109566,-0.004879992168105257,0.0015725116334397667,0.46454504504799843,0.5420112572610378,False,False,False,19f9a06a8f411f2cb0bfc83a470b8abe9be3e8d2481b8d5686994f21903b99e1
cleveland,l1_logistic,gb,none,1.0,net_benefit,0.3212027017610627,0.31790933244704234,0.3242977420440011,30,,,,,,,False,False,False,19f9a06a8f411f2cb0bfc83a470b8abe9be3e8d2481b8d5686994f21903b99e1
cleveland,l1_logistic,gb,none,0.25,net_benefit_gap,0.2734233856144585,0.26753252531149413,0.2788840530806324,30,0.014083358798930851,0.7714348226897298,0.007728932177711163,0.020476131850849927,0.0001528710126876831,0.0006114840507507324,True,True,False,19f9a06a8f411f2cb0bfc83a470b8abe9be3e8d2481b8d5686994f21903b99e1
cleveland,l1_logistic,gb,none,0.33,net_benefit_gap,0.2654592577673468,0.26118042249609436,0.2695529369836144,30,0.0061192309518191546,0.3809614501515832,0.0005392491725576149,0.01197541921215653,0.09610157273709774,0.2883047182112932,False,False,False,19f9a06a8f411f2cb0bfc83a470b8abe9be3e8d2481b8d5686994f21903b99e1
cleveland,l1_logistic,gb,none,0.5,net_benefit_gap,0.2574967657967445,0.2515311431143774,0.26353253225995893,30,-0.001843261018783123,-0.09088247414246652,-0.00863731096357734,0.0054884195458247435,0.39305018074810505,0.7861003614962101,False,False,False,19f9a06a8f411f2cb0bfc83a470b8abe9be3e8d2481b8d5686994f21903b99e1
cleveland,l1_logistic,gb,none,0.75,net_benefit_gap,0.26235729332600416,0.25786512010873613,0.26706953689706403,30,0.0030172665104765267,0.15160857699027555,-0.0037492895559113164,0.009960049171555274,0.6263462882488966,0.7861003614962101,False,False,False,19f9a06a8f411f2cb0bfc83a470b8abe9be3e8d2481b8d5686994f21903b99e1
cleveland,l1_logistic,gb,none,1.0,net_benefit_gap,0.25934002681552765,0.25412331867583143,0.26460840632515703,30,,,,,,,False,False,False,19f9a06a8f411f2cb0bfc83a470b8abe9be3e8d2481b8d5686994f21903b99e1
