method,frac,k_features,n_features,classifier,calibrate,seed,accuracy,auroc,brier,ece,aurc,auroc_gap,ece_gap,net_benefit,net_benefit_gap,conformal_efficiency,conformal_coverage,conformal_coverage_gap,selective_ece,dataset,rep,calib_sha256
mutual_info,1.0,12,12,logistic,none,4128276472,0.8283828382838284,0.8906387085453588,0.12824654451653164,0.06720391192252757,0.07385398760741643,0.030315280956013102,0.03356912784301622,0.3418002776074317,0.2730698205533926,1.188118811881188,0.900990099009901,0.03948553698328494,0.0598634547605201,cleveland,2,19f9a06a8f411f2cb0bfc83a470b8abe9be3e8d2481b8d5686994f21903b99e1
mutual_info,0.75,9,12,logistic,none,4128276472,0.8283828382838284,0.8917353921740657,0.12834954706412055,0.057453732202188176,0.07455443617727053,0.043557081108568374,0.020013254653127574,0.3439009023111233,0.2583503060280741,1.2145214521452146,0.900990099009901,0.0546491842658392,0.04755904559614207,cleveland,2,19f9a06a8f411f2cb0bfc83a470b8abe9be3e8d2481b8d5686994f21903b99e1
mutual_info,0.5,6,12,logistic,none,4128276472,0.8316831683168316,0.8884672749605195,0.12919995871037893,0.07863431569697324,0.08094023692271372,0.04397915077548953,0.03577557941178644,0.3426062106621253,0.24490867070249672,1.1914191419141915,0.900990099009901,0.08497647883094794,0.047936182477696286,cleveland,2,19f9a06a8f411f2cb0bfc83a470b8abe9be3e8d2481b8d5686994f21903b99e1
mutual_info,0.33,4,12,logistic,none,4128276472,0.8118811881188119,0.8610940515879979,0.1458633086783588,0.07341155632860277,0.11013909773888739,0.07432621408593931,0.019573620756031557,0.3285820940729204,0.24350275494694842,1.2772277227722773,0.900990099009901,0.08497647883094794,0.0676447397302761,cleveland,2,19f9a06a8f411f2cb0bfc83a470b8abe9be3e8d2481b8d5686994f21903b99e1
mutual_info,0.25,3,12,logistic,none,4128276472,0.7623762376237624,0.8474513072468854,0.1571209575435435,0.059392357887790244,0.11907109091903006,0.03563119755911526,0.02691492129340403,0.32273414827963576,0.2829854702657361,1.3234323432343233,0.9108910891089109,0.07041337203483133,0.04363868206918353,cleveland,2,19f9a06a8f411f2cb0bfc83a470b8abe9be3e8d2481b8d5686994f21903b99e1
mutual_info,1.0,12,12,logistic,none,1211028316,0.8184818481848185,0.8911651166871382,0.12833628336123928,0.06556156125422603,0.07696864403691342,0.019963132468853395,0.019601828222156628,0.34455272081272703,0.2761308212597553,1.1782178217821782,0.900990099009901,0.02432188970073057,0.037185157487280525,cleveland,3,19f9a06a8f411f2cb0bfc83a470b8abe9be3e8d2481b8d5686994f21903b99e1
mutual_info,0.75,9,12,logistic,none,1211028316,0.834983498349835,0.895200912440779,0.12593080056486072,0.05959875385825943,0.07477571085695556,0.005034324942791657,0.023284140538065892,0.34752334533090773,0.28176560297573194,1.1782178217821782,0.900990099009901,0.02432188970073057,0.04204624971201928,cleveland,3,19f9a06a8f411f2cb0bfc83a470b8abe9be3e8d2481b8d5686994f21903b99e1
mutual_info,0.5,6,12,logistic,none,1211028316,0.834983498349835,0.8952447797859273,0.12286844833010467,0.04718408791157691,0.0780028333888562,0.005514874141876458,0.034970391114681657,0.34999788610306254,0.2752007317289536,1.174917491749175,0.900990099009901,0.03948553698328494,0.034638679545709684,cleveland,3,19f9a06a8f411f2cb0bfc83a470b8abe9be3e8d2481b8d5686994f21903b99e1
mutual_info,0.33,4,12,logistic,none,1211028316,0.8283828382838284,0.887589928057554,0.13169916290939426,0.0636615940024892,0.0894077607068374,0.019068777015001315,0.023086058482090596,0.34751926676473543,0.27479214565535515,1.2145214521452146,0.900990099009901,0.03948553698328494,0.07341672460544699,cleveland,3,19f9a06a8f411f2cb0bfc83a470b8abe9be3e8d2481b8d5686994f21903b99e1
mutual_info,0.25,3,12,logistic,none,1211028316,0.7986798679867987,0.8572775925600983,0.14669268116888107,0.0736915915255246,0.13242409703970992,0.05590770404271561,0.007901547574954912,0.3357995987081704,0.2674521620449205,1.2904290429042904,0.900990099009901,0.0546491842658392,0.07092340378005008,cleveland,3,19f9a06a8f411f2cb0bfc83a470b8abe9be3e8d2481b8d5686994f21903b99e1
