kept_features,method,classifier,rep,auroc_full,auroc_red,auroc_penalty
100,rf_importance,logistic,8,0.8896103896103896,0.8791599025974026,0.010450487012987009
100,rf_importance,logistic,9,0.8815949675324676,0.8425324675324676,0.0390625
100,rf_importance,logistic,10,0.8752029220779222,0.8551136363636364,0.02008928571428581
100,rf_importance,logistic,11,0.885551948051948,0.8159496753246753,0.06960227272727271
100,rf_importance,logistic,12,0.9054383116883117,0.8588676948051948,0.04657061688311692
100,rf_importance,logistic,13,0.8955965909090909,0.869825487012987,0.02577110389610393
100,rf_importance,logistic,14,0.8939732142857143,0.8665787337662338,0.027394480519480457
100,rf_importance,logistic,15,0.9150771103896104,0.8753043831168831,0.03977272727272729
100,rf_importance,logistic,16,0.8952922077922078,0.8647524350649352,0.030539772727272596
100,rf_importance,logistic,17,0.916497564935065,0.8640422077922079,0.052455357142857095
100,rf_importance,logistic,18,0.8601866883116882,0.8129058441558442,0.04728084415584399
100,rf_importance,logistic,19,0.874898538961039,0.8504464285714286,0.02445211038961037
100,rf_importance,logistic,20,0.8873782467532467,0.8708400974025974,0.016538149350649345
100,rf_importance,logistic,21,0.9288758116883117,0.8923498376623378,0.036525974025973906
100,rf_importance,logistic,22,0.9073660714285714,0.8603896103896104,0.046976461038961026
100,rf_importance,logistic,23,0.8687094155844156,0.8447646103896104,0.02394480519480524
100,rf_importance,logistic,24,0.8866680194805195,0.8497362012987013,0.03693181818181823
100,rf_importance,logistic,25,0.8839285714285714,0.8631290584415585,0.02079951298701288
100,rf_importance,logistic,26,0.8735795454545455,0.8546063311688312,0.0189732142857143
100,rf_importance,logistic,27,0.9022930194805195,0.8517654220779222,0.05052759740259738
100,rf_importance,logistic,28,0.8919439935064936,0.838575487012987,0.05336850649350655
100,rf_importance,logistic,29,0.8988433441558442,0.869825487012987,0.029017857142857206
100,rf_importance,rf,0,0.8990969967532467,0.8632305194805194,0.03586647727272729
100,rf_importance,rf,1,0.8917410714285715,0.8746448863636364,0.017096185064935154
100,rf_importance,rf,2,0.9018364448051949,0.8898640422077922,0.01197240259740262
100,rf_importance,rf,3,0.9197443181818182,0.8913859577922079,0.02835836038961037
100,rf_importance,rf,4,0.9372970779220778,0.9030539772727273,0.034243100649350544
100,rf_importance,rf,5,0.8938717532467533,0.8660714285714285,0.027800324675324783
100,rf_importance,rf,6,0.9042207792207791,0.8636870941558441,0.04053368506493504
100,rf_importance,rf,7,0.9119318181818181,0.8848924512987012,0.027039366883116922
100,rf_importance,rf,8,0.8886972402597403,0.8621651785714286,0.02653206168831168
100,rf_importance,rf,9,0.9004159902597403,0.8845880681818182,0.015827922077922052
100,rf_importance,rf,10,0.9230418019480521,0.9054383116883116,0.017603490259740506
100,rf_importance,rf,11,0.9026481331168831,0.8815442370129871,0.02110389610389596
100,rf_importance,rf,12,0.893060064935065,0.8829139610389611,0.01014610389610382
100,rf_importance,rf,13,0.9065036525974026,0.8931107954545454,0.013392857142857206
100,rf_importance,rf,14,0.9094967532467533,0.8951907467532467,0.014306006493506551
100,rf_importance,rf,15,0.9053875811688312,0.8928571428571429,0.012530438311688319
100,rf_importance,rf,16,0.9266436688311689,0.9117288961038961,0.014914772727272818
100,rf_importance,rf,17,0.8849431818181818,0.8791599025974026,0.005783279220779147
100,rf_importance,rf,18,0.8987926136363636,0.8851461038961038,0.013646509740259827
100,rf_importance,rf,19,0.9145190746753247,0.9033076298701299,0.011211444805194759
100,rf_importance,rf,20,0.9083806818181819,0.8996043019480521,0.008776379870129802
100,rf_importance,rf,21,0.9257305194805195,0.8963068181818182,0.02942370129870131
100,rf_importance,rf,22,0.8833705357142856,0.8891030844155845,-0.005732548701298912
100,rf_importance,rf,23,0.8910815746753248,0.8753043831168831,0.015777191558441706
100,rf_importance,rf,24,0.8959009740259739,0.8896611201298701,0.00623985389610382
100,rf_importance,rf,25,0.9178165584415584,0.9021915584415584,0.015625
100,rf_importance,rf,26,0.895900974025974,0.8727678571428572,0.02313311688311681
100,rf_importance,rf,27,0.9197950487012987,0.9128449675324676,0.006950081168831113
100,rf_importance,rf,28,0.9250710227272727,0.9086343344155844,0.01643668831168832
100,rf_importance,rf,29,0.9091416396103897,0.9052353896103897,0.00390625
256,l1_logistic,logistic,0,0.8944805194805194,0.8555194805194806,0.03896103896103886
256,l1_logistic,logistic,1,0.8829139610389611,0.8694196428571429,0.013494318181818232
256,l1_logistic,logistic,2,0.8511566558441559,0.8562297077922078,-0.005073051948051854
256,l1_logistic,logistic,3,0.890625,0.8614042207792207,0.02922077922077926
256,l1_logistic,logistic,4,0.8843344155844156,0.8581574675324676,0.026176948051948035
256,l1_logistic,logistic,5,0.8687094155844155,0.8455762987012988,0.0231331168831167
256,l1_logistic,logistic,6,0.898538961038961,0.8877840909090909,0.010754870129870087
256,l1_logistic,logistic,7,0.8565340909090909,0.8087459415584415,0.047788149350649456
256,l1_logistic,logistic,8,0.8846387987012987,0.8616071428571428,0.023031655844155896
256,l1_logistic,logistic,9,0.8991477272727273,0.8771306818181819,0.022017045454545414
